title,media,date,desc,link,img
"Tesla IPO Raises $226.1M, Stock Surges 41 Percent",Wired News,"Jun. 29, 2010","Tesla Motors raised $226.1 million dollars in an initial public offering Tuesday, and its shares surged 41 percent as investors snapped up stock in a Silicon ...",https://www.wired.com/2010/06/tesla-ipo-raises-226-1-million/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQvkqtDFqK7P-oHc2pzKGkp13GvqJxsBrmbuo5Xse_pUhrP4s4_jpgbL4QB4-HvguEK8-fIEPky&s
Welcome TSLA: Tesla Motors raises $266 million in IPO,CNNMoney,"Jun. 29, 2010","Tesla's Model S sedan is slated to go on sale in 2012. The stock immediately fell back below $18 to start the day, but soared as high as $25 before finishing the ...",https://money.cnn.com/2010/06/29/technology/tesla_ipo/index.htm,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSJVl0tdhFgtcNHbWVvoqCbdUDvJ3cEMCt5VeoEINz0i0JqvRVv9Ldbp9URr1riFNsQIBEXUuM&s
Tesla Motors shares soar 41% in market debut,MarketWatch,"Jun. 29, 2010","For some, Tesla's IPO harkens back to Silicon Valley's Internet bubble in the late 1990s, when retail investors snapped up shares in brand-new tech companies ...",https://www.marketwatch.com/story/tesla-motors-ipo-opens-12-above-offer-price-2010-06-29,
Consumer confidence craters in June,CNNMoney,"Jun. 29, 2010","Investors grab Tesla Motors IPO. First Published: June 29, 2010: 10:02 AM ET. 7 things to know before the bell. Right Now. 7 things to know before the bell ...",https://money.cnn.com/2010/06/29/news/economy/consumer_confidence/index.htm,
"Xerium Technologies to Close Stowe Woodward, Ontario Facility",Area Development Online,"Jun. 29, 2010",Elon Musk's threat to leave California could cost Tesla $1 billion - CNBC · Southern and Western Regions Experienced Rapid Growth This Decade · Coronavirus ...,https://www.areadevelopment.com/newsItems/6-29-2010/xerium-technologies-stowe-woodward-ontario7793.shtml,
Mercedes-Benz introduces entry-level GLK 200 CDI ...,AutoSpies.com,"Jun. 29, 2010","WE Say, The ONLY Product On Their List That Will Sell Well Is The Tesla CyberTruck · Who Will Watch? Series Devoted To Open Wheel Autonomous Racing ...",http://www.autospies.com/news/Mercedes-Benz-introduces-entry-level-GLK-200-CDI-BlueEfficiency-2WD-55498/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Rumblefish Launches Friendly Music: Tunes For YouTube ...,TechCrunch (blog),"Jun. 29, 2010","Tesla cuts prices across EV lineup, ends free supercharging for Model S, Model X · Kirsten Korosec. 10:49 am PDT•May 27, 2020. Tesla slashed prices across ...",https://techcrunch.com/2010/06/29/rumblefish-friendly-music/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"New tool “How Secure Is My Password” tells you..well, you ...",The Next Web,"Jun. 29, 2010","BMW is reportedly working on a 1,000HP all-electric M5 that'll rival Tesla's Plaid Model S · Matthew Beedham; 16 hours ago ...",https://thenextweb.com/apps/2010/06/29/new-tool-how-secure-is-my-password-tells-you-well-you-know/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
2011 BMW 550i Vs. Modified Jeep Grand Cherokee SRT8 ...,AutoSpies.com,"Jun. 29, 2010","WE Say, The ONLY Product On Their List That Will Sell Well Is The Tesla CyberTruck · Who Will Watch? Series Devoted To Open Wheel Autonomous Racing ...",http://www.autospies.com/news/2011-BMW-550i-Vs-Modified-Jeep-Grand-Cherokee-SRT8-Guess-Who-Wins-55517/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Soap Phosphate Ban Begins July 1,Environmental Leader,"Jun. 29, 2010",Tesla Delays Semi Electric Truck Delivery Back until Next Year · Market for Renewable Aviation Fuel Expected to Skyrocket over Next 5 Years · LEADERS ...,https://www.environmentalleader.com/2010/06/sixteen-states-ban-high-phosphate-soap/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Madden's New 'Swagger,' Explained",Kotaku.com (blog),"Jun. 29, 2010",Tesla Model 3 Drives Straight Into Overturned Truck In What Seems To Be Autopilot Failure. Subscribe To Our Newsletter. Your guide to gaming delivered to ...,https://kotaku.com/maddens-new-swagger-explained-5575957,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTgS4btohQGVyQasP84urkWQw6KIyzO42YKE6VPapmQQlqTj8_LPoT_BBsaa1-irfuyFq53rRw&s
2010 Mazda MX5 Miyako Special Edition Unveiled,AutoSpies.com,"Jun. 29, 2010",Shareholders To Vote On Forcing Tesla To Advertise Vehicles · Spanish Workers Light Tires On Fire Over Nissan Plant Closure · Ford Plans Mustang Mach 1 ...,http://www.autospies.com/news/2010-Mazda-MX5-Miyako-Special-Edition-Unveiled-55505,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTi-e9RFUddC4oPIpNXx3d7gfuoBZWaVdD98RjVyCvCFM16o-_9f8cNGPD6Ag1w-dbhEttu8fw&s
MV Agusta announces Cannonball Kit for 2010 Brutale 1090RR,Autoblog (blog),"Jun. 29, 2010",Watch a Tesla Model 3 drive into a flipped truck on a Taiwan highway. 23 comments 23 · 2021 BMW 4 Series vs. Mercedes-Benz C-Class vs Audi A5 | How the ...,https://www.autoblog.com/2010/06/29/mv-agusta-announces-cannonball-kit-for-2010-brutale-1090rr/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQhHJb7uf2WdCN9UIzuTj6wetASi_yvWDoghSZlQWkGyCdzrzqBJM3HYZJyqyUALvVQ0-_LOGI&s
Shift+Refresh Is Like the Restart Button for Web Sites,Lifehacker,"Jun. 29, 2010",Tesla Model 3 Drives Straight Into Overturned Truck In What Seems To Be Autopilot Failure. Read on. J.R. Smith Beats the Brakes Off 'White Boy' for Allegedly ...,https://lifehacker.com/shift-refresh-is-like-the-restart-button-for-web-sites-5574852,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Home Area Networks, Risk and Reality in the Smart Grid",Greentech Media,"Jun. 29, 2010",... Self-Driving Cars Might Make Traffic Worse · Tesla's Powerwall home battery led in installations supported by California's distributed storage incentive in 2020.,https://www.greentechmedia.com/articles/read/home-area-networks-risk-and-reality-in-the-smart-grid,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Smartphone Comparison Chart Compares Extensive ...,Lifehacker,"Jun. 29, 2010",Tesla Model 3 Drives Straight Into Overturned Truck In What Seems To Be Autopilot Failure. Read on. Lexus Begins Digging Infiniti's Grave With The 2021 Lexus ...,https://lifehacker.com/smartphone-comparison-chart-compares-extensive-smartpho-5575317,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Analysis: BP PR blunders carry high political cost,Reuters,"Jun. 29, 2010",Tesla stock rise appears to qualify CEO Musk for $700 million payday. 05 May ... BRIEF-Tesla Says Started Process Of Resuming Operations after... 10 May ...,https://www.reuters.com/article/us-oil-spill-bp-pr/analysis-bp-pr-blunders-carry-high-political-cost-idUSTRE65S3JL20100629,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Oil broker banned for drunk trading binge,Reuters,"Jun. 29, 2010",Tesla's Musk says ready for arrest as he reopens California plant against local order · White House considers more coronavirus aid as jobs picture worsens ...,https://www.reuters.com/article/us-fsa-pvm-ban/oil-broker-banned-for-drunk-trading-binge-idUSTRE65S42620100629,
2012 Ferrari 599 Roadster Rendered,Car and Driver,"Jun. 29, 2010",... Mercedes-Maybach · Mini · Mitsubishi · Nissan · Polestar · Porsche · Ram · Rivian · Rolls-Royce · Subaru · Tesla · Toyota · Volkswagen · Volvo · Reviews.,https://www.caranddriver.com/news/a15129541/2012-ferrari-599-roadster-rendered-future-cars/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Use Google Voice to Keep a Consistent Prepaid Phone Number,Lifehacker,"Jun. 29, 2010",Read on. Tesla Model 3 Drives Straight Into Overturned Truck In What Seems To Be Autopilot Failure. Read on. How to Cop-Proof Your Phone Before Heading ...,https://lifehacker.com/use-google-voice-to-keep-a-consistent-prepaid-phone-num-5575257,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Caterpillar D7E,Car and Driver,"Jun. 29, 2010",... McLaren · Mercedes-AMG · Mercedes-Benz · Mercedes-Maybach · Mini · Mitsubishi · Nissan · Polestar · Porsche · Ram · Rivian · Rolls-Royce · Subaru · Tesla ...,https://www.caranddriver.com/features/a15126247/caterpillar-d7e-feature/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ-1AOq9KM_qd6hkWWW39gW3tPEyD500CNAK--m7PDV-H-fKumVy01IZ-nNrisHqW2R68K2wPOf&s
Accor shareholders clear demerger plan,Reuters (press release),"Jun. 29, 2010",Tesla stock rise appears to qualify CEO Musk for $700 million payday. Reuters News Now. Subscribe to our daily curated newsletter to receive the latest ...,https://www.reuters.com/article/us-accor/accor-shareholders-clear-demerger-plan-idUSTRE65S33Y20100629,
Driven: 2011 Infiniti QX56,TheCarConnection.com (blog),"Jun. 29, 2010",... Lincoln · Maserati · Mazda · Mercedes-Benz · MINI · Mitsubishi · Nissan · Porsche · Ram · Subaru · Tesla · Toyota · Volkswagen · Volvo. Research By Category.,https://www.thecarconnection.com/news/1046641_driven-2011-infiniti-qx56,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQD8YeINXSEz7qzBRm2qixcaoIFkd-o1ezFU9qVgXQwhjnhe8B-ZH0cu1IeZB0VgOJpH5KXsCKY&s
No Clear Successor To Town Car And Crown Vic In Fleets,TheCarConnection.com (blog),"Jun. 29, 2010",... Lincoln · Maserati · Mazda · Mercedes-Benz · MINI · Mitsubishi · Nissan · Porsche · Ram · Subaru · Tesla · Toyota · Volkswagen · Volvo. Research By Category.,https://www.thecarconnection.com/news/1046650_no-clear-successor-to-town-car-and-crown-vic-in-fleets,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Hello Kitty Motor Oil Looks Pretty Slick,AutoGuide.com,"Jun. 29, 2010",Subaru · Tesla · Toyota · Volkswagen · Volvo · Used Cars · Car Reviews · Auto Resources · Car Loan · Auto Insurance · Auto Glass Repair · Auto Warranty.,https://www.autoguide.com/auto-news/2010/06/hello-kitty-motor-oil-looks-pretty-slick.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Nick Clegg outlines £1bn fund for areas hit by cuts,BBC News,"Jun. 29, 2010",... needed for schools to reopen - unions · 4 Ahmaud Arbery: Trump laments 'heart-breaking' killing · 5 Coronavirus: Tesla ordered to keep main US plant closed ...,https://www.bbc.co.uk/news/10448939,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
The Results Are In: Listeners Pick 2010's Best Music (So Far),NPR (blog),"Jun. 29, 2010","... Emergency Use Authorization For 1st Coronavirus Antigen Test · Business · Elon Musk Says Tesla Suing California County, Moving Headquarters Out Of State ...",https://www.npr.org/sections/allsongs/2010/06/29/128189562/results2010sofar,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Father Of The Range Rover Dies At Age 85,AutoGuide.com,"Jun. 29, 2010",Subaru · Tesla · Toyota · Volkswagen · Volvo · Used Cars · Car Reviews · Auto Resources · Car Loan · Auto Insurance · Auto Glass Repair · Auto Warranty.,https://www.autoguide.com/auto-news/2010/06/father-of-the-range-rover-dies-at-age-85.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Couple test-driving a Ford F-150 accidentally crushes into ...,Top Speed (blog),"Jun. 29, 2010",... Rolls-Royce · Skoda · Smart · Subaru · Suzuki · Tesla · Toyota · Volkswagen · Volvo · View All. Model. Find. Ford F-150 · Mercury Milan. Competing Vehicles.,https://www.topspeed.com/cars/car-news/couple-test-driving-a-ford-f-150-accidentally-crushes-into-mercury-milan-sedans-ar92733.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Top Gear shows us why there aren't three wheeled cars ...,Top Speed (blog),"Jun. 29, 2010",... Opel · Pagani · Peugeot · Pontiac · Porsche · Ram · Renault · Rolls-Royce · Skoda · Smart · Subaru · Suzuki · Tesla · Toyota · Volkswagen · Volvo · View All.,https://www.topspeed.com/cars/car-news/top-gear-shows-us-why-there-aren-t-three-wheeled-cars-driving-around-ar92698.html,
Ferrari 599 GTO tested by EVO magazine,Top Speed (blog),"Jun. 29, 2010","... Subaru · Suzuki · Tesla · Toyota · Volkswagen · Volvo · View All. Model, View All · Ferrari 125 · Ferrari 159 · Ferrari 166 · Ferrari 195 · Ferrari 208 · Ferrari 212 ...",https://www.topspeed.com/cars/car-news/ferrari-599-gto-tested-by-evo-magazine-ar92760.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSzfTQw7DoeqwPpKR3H7VhdzcNUHaCi9oxiQYGROrracZWtj5coPqSAzlwVvuRFzLgmFKqQJxMI&s
2010 BMW M3 Performance Carbon Fiber Aerodynamic ...,Top Speed (blog),"Jun. 29, 2010","... Suzuki · Tesla · Toyota · Volkswagen · Volvo · View All. Model, View All · BMW 1M · BMW 1 Series · BMW 2002 · BMW 2 Series · BMW 3 Series · BMW 4 Series ...",https://www.topspeed.com/cars/car-news/2010-bmw-m3-performance-carbon-fiber-aerodynamic-components-ar92738.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQobwweODSdKVQs2-YGC7fIMPamw2BBPES7hJl60OgQgrkCLLIuk2z4ZVN5MYEwAJ17BAvC5nI&s
1914 Rolls-Royce for sale at $6.7 Million,Top Speed (blog),"Jun. 29, 2010","... Opel · Pagani · Peugeot · Pontiac · Porsche · Ram · Renault, Rolls-Royce, Skoda · Smart · Subaru · Suzuki · Tesla · Toyota · Volkswagen · Volvo · View All.",https://www.topspeed.com/cars/car-news/1914-rolls-royce-for-sale-at-67-million-ar92692.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRKQhXq5qWZVJ8iC5lNorwymqW1tDdkNBVJ0eEBAZIoYIzpeDnxX4mk9vJ75poaCpBbB-SxA0XX&s
18-year old's BMW X9 Concept looks about as angry as any ...,Top Speed (blog),"Jun. 29, 2010","... Suzuki · Tesla · Toyota · Volkswagen · Volvo · View All. Model, View All · BMW 1M · BMW 1 Series · BMW 2002 · BMW 2 Series · BMW 3 Series · BMW 4 Series ...",https://www.topspeed.com/cars/car-news/18-year-old-s-bmw-x9-concept-looks-about-as-angry-as-any-concept-you-ll-see-ar92712.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Tesla IPO successful: Stock up 40% on day one,Register,"Jun. 30, 2010","That situation led to a bitter boardroom battle between Tesla's main financial backer, colourful PayPal hecamillionaire Elon Musk, and co-founder Martin Eberhard.",https://www.theregister.co.uk/2010/06/30/tesla_ipo/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT_u3gxRqmKor_GGuD3Im7ddahay2AxCLeDIT9IyWPNYtp6jBVGHKKE9-mHqJ8cUshbf5QcDHzH&s
"For $20000, Get a Turbine-Powered 928 With Free Shipping ...",Jalopnik (blog),"Jun. 30, 2010","Today we have another car with an uncommon motivational force, however, while the Tesla's required you not to stray too far from an electrical outlet, owning this ...",https://jalopnik.com/for-20-000-get-a-turbine-powered-928-with-free-shippi-5576028,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSJYy5vKLSjyaU_y0DgYZHa911UD0Kmj1_C0csWwkQtW1YCQ4IwG5L0gGdlsEMEOqjFAeXOg_PO&s
GM Salutes Its 'Damsel' Designers,New York Times (blog),"Jun. 30, 2010",Tesla Tells Workers It Will Reopen California Factory Despite County Order ... Elon Musk Says Tesla Share Price Is Too High ...,https://wheels.blogs.nytimes.com/2010/06/30/g-m-salutes-its-damsel-designers/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQh5nQxLYP0HJvo_MHAjdnktp-i5EcF-esAJDLTzEsj9TXzFNL9-ptf_wW6hJGg8_6e6J24ZGw&s
