title,media,date,desc,link,img
"Tesla IPO Raises $226.1M, Stock Surges 41 Percent",Wired News,"Jun. 29, 2010","Tesla Motors raised $226.1 million dollars in an initial public offering Tuesday, and its shares surged 41 percent as investors snapped up stock in a Silicon ...",https://www.wired.com/2010/06/tesla-ipo-raises-226-1-million/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQvkqtDFqK7P-oHc2pzKGkp13GvqJxsBrmbuo5Xse_pUhrP4s4_jpgbL4QB4-HvguEK8-fIEPky&s
Welcome TSLA: Tesla Motors raises $266 million in IPO,CNNMoney,"Jun. 29, 2010","Tesla's Model S sedan is slated to go on sale in 2012. The stock immediately fell back below $18 to start the day, but soared as high as $25 before finishing the ...",https://money.cnn.com/2010/06/29/technology/tesla_ipo/index.htm,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSJVl0tdhFgtcNHbWVvoqCbdUDvJ3cEMCt5VeoEINz0i0JqvRVv9Ldbp9URr1riFNsQIBEXUuM&s
Tesla Motors shares soar 41% in market debut,MarketWatch,"Jun. 29, 2010","For some, Tesla's IPO harkens back to Silicon Valley's Internet bubble in the late 1990s, when retail investors snapped up shares in brand-new tech companies ...",https://www.marketwatch.com/story/tesla-motors-ipo-opens-12-above-offer-price-2010-06-29,
Tesla IPO successful: Stock up 40% on day one,Register,"Jun. 30, 2010","That situation led to a bitter boardroom battle between Tesla's main financial backer, colourful PayPal hecamillionaire Elon Musk, and co-founder Martin Eberhard.",https://www.theregister.co.uk/2010/06/30/tesla_ipo/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT_u3gxRqmKor_GGuD3Im7ddahay2AxCLeDIT9IyWPNYtp6jBVGHKKE9-mHqJ8cUshbf5QcDHzH&s
Tesla Electric Roadster v2.5: The iPhone 4 of Electric Cars,Treehugger,"Jul. 1, 2010",Read on for more details and photos. tesla electric roadster version 2.5 photo. Photo: Tesla Motors. Incremental Improvements. If you're expecting major changes ...,https://www.treehugger.com/cars/tesla-electric-roadster-v25-the-iphone-4-of-electric-cars.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT9Ui3nWDWzrh_hCNk9jhep37ueBhDcHdc2zuwNZZGgNWD-Qar0Q9NDfGDvdoxnI81TYnUBXUM&s
Tesla Roadster 2.5 - Improved for 2011,Car and Driver,"Jul. 2, 2010","Tesla Roadster 2.5 - Improved for 2011. The electric sports car gets updated with new wheels, more-comfortable seats, and a redesigned front end.",https://www.caranddriver.com/news/a15129402/tesla-roadster-news-2011-tesla-roadster-25-info/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRiC1NjCxX7x22cnlzLbc3qPN0X5TUt2NzDsczncDbgAZs-ju5QzO2rjaii3WJb_Y78d5a75x9N&s
Tesla IPO Comes Back Down To Earth After One Week Of ...,AutoGuide.com,"Jul. 6, 2010","The Tesla IPO was one story that came to our attention, as it was the perfect nexus of technology, automobiles and financial markets. Tesla has gotten a lot of ...",https://www.autoguide.com/auto-news/2010/07/tesla-ipo-idown.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTFw417QDvVAun5AupMxWxw46omCQpaLhydd4JG6CweppTgnmcOfW9isPPWYlgIzHwl4YlYmVk&s
2010: Electric-car lovers already lining up for Tesla's Model S ...,San Jose Mercury News,"Jul. 7, 2010","But Tesla's fans, many already driving the company's groundbreaking $109,000 Roadster, are a particularly fanatical bunch. And they're putting serious money ...",https://www.mercurynews.com/2010/07/07/2010-electric-car-lovers-already-lining-up-for-teslas-model-s-sedan/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQV1tQQLAw6AhgFSbPJCIu35tE9BQ2KtxQYU4wgEVwJsAx0y4Xo790Bccak99iZ9Rcl0kqhDsI&s
Elon Musk: Correcting The Record About My Divorce,The Business Insider,"Jul. 8, 2010",Tesla was in a near fatal situation and the only way out was for existing shareholders to completely recapitalize the company. There was no way to raise money ...,https://www.businessinsider.com/correcting-the-record-about-my-divorce-2010-7,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSBeL6JxlS8aC4Wo3jBeO_WVisqQ_3bGRfSt_Quo7Qbhkt3RNxaPWE9Q3y81fV-gcXF7BceY8k&s
"Elon Musk: ""Why Owen Thomas Is Silicon Valley's Jayson Blair""",TechCrunch (blog),"Jul. 11, 2010",Tesla's Investors. Thomas references another NY Times Miller article about an email I wrote to customers and claims I said Tesla would start getting DOE funds in ...,https://techcrunch.com/2010/07/11/elon-musk-why-owen-thomas-is-silicon-valleys-jayson-blair/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRWmXWL9tVHVSHw05BgM04TMMl6DVCU2kcypzS9cXlbwxdPY_UrzrZjwAosxLDYuJ_U_xJ2vQ8&s
Toyota and Tesla to develop battery-powered vehicles,The Star-Ledger - NJ.com,"Jul. 12, 2010","tesla.jpg Bloomberg/Daniel AckerElon Musk, chairman and chief executive officer of Tesla Motors, stands for a portrait with a Tesla Roadster outside the Nasdaq ...",https://www.nj.com/business/2010/07/toyota_and_tesla_to_develop_ba.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSBSdVv_bnaCbVXIuUcybNVFwkioPiDogPq98G8L1UmpdhxO2NQ_WUCKPp8sYp4kL6MmkMSytCA&s
Apple's Retail Guru Tapped for Tesla Showrooms,Fast Company,"Jul. 12, 2010","Obvious differences in product offerings aside, Apple and Tesla Motors have a lot in common. They're both quirky, trendy,and often misunderstood. Apple ...",https://www.fastcompany.com/1668777/apples-retail-guru-tapped-tesla-showrooms,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQlvO2d3fELw-qGztW6hZfTPfSqO5eQaKvONEHGgesS_bodSAlWRXECgZrGBboOICR_OlajTg4&s
Tesla Building Two EV Prototypes for Toyota Using Japanese ...,AutoGuide.com,"Jul. 12, 2010",This news is the latest development in an ongoing story that began when Toyota and Tesla signed an agreement that would see Toyota invest $50 million in Tesla ...,https://www.autoguide.com/auto-news/2010/07/tesla-building-two-ev-prototypes-for-toyota-using-japanese-automakers-vehicles.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQesIA59ML98fuGAwRqFOHe41O3rJMnMGueopBvfRfDMP3xObSmS2R-DucNLJIHlK3QA4SKf6MB&s
Nicolas Cage delves into the mystical for The Sorcerer's ...,Straight.com,"Jul. 13, 2010","I read a little about him and found out [that Tesla thought] they were his friends, and he cared about them. I decided to find a way to get a pigeon in the film and to ...",https://www.straight.com/article-333702/vancouver/nicolas-cage-delves-mystical-sorcerers-apprentice,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQe2XmtHO-agrYQXBOK8h8d4daL9vjaq7SMgXAytAadlmvnUasntPd2ZRcX1CT8PQwLqEN5-YBd&s
Tesla Becomes First US Auto IPO Since Ford,MotorTrend Magazine,"Jul. 14, 2010",Is Elon Musk the Green Henry Ford or the latest Preston Tucker? tesla-roadster. filter See ...,https://www.motortrend.com/news/tesla-becomes-first-us-auto-ipo-since-ford/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS3nkhjZWry-8TVof4IyEyzOUzpePKmG5wQO6tkA6IH0a6jcgJN8jxZGyGH5AtWwniUB0ys9tka&s
"Tesla, Toyota Plan to Sell Electric RAV4 By 2012",Fast Company,"Jul. 16, 2010","Now that it is, Tesla and Toyota are charging ahead with an updated version of the RAV4 EV featuring a Toyota body and a Tesla electric powertrain. Tesla plans ...",https://www.fastcompany.com/1670970/tesla-toyota-plan-sell-electric-rav4-2012,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTJO34vIqVZX5WQhqqEABOGxRsEo90nK298f3jP_4sLrgGbt7TPgQTXNeVQdrTdcpX_zwIL-vQ&s
"Tesla Roadster goes continent-hopping, expands markets to ...",Engadget (blog),"Jul. 19, 2010","Tesla's first car in Japan went to serial entrepreneur and BizSeek founder Takao Ozawa. ""As an early adopter, I wanted to invest my own money to show the rest of ...",https://www.engadget.com/2010-07-19-tesla-roadster-goes-continent-hopping-expands-markets-to-includ.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQc4yUjjI7qjMm4_QNMykPeFzpg4kY9IJuzyyWTDSK9e6naL_19y1rNnvnCqIfPxk0cB1lNffbk&s
Review: 2010 Tesla Roadster Sport,Truth About Cars,"Jul. 28, 2010",Tesla's got torque.) I plotted a route on the freeway then up the 84 to Skyline Blvd. Traffic was generally too thick for me to be too much of a hoon ...,https://www.thetruthaboutcars.com/2010/07/review-2010-tesla-roadster-sport/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_rFpAcD9bpsoaIFQBLllQd70VEw1OThp6Y-EFdRSs8pMb6MisKGJ84Rd99L5jcbl1N9lDxT9d&s
Entrepreneur Elon Musk On Weathering the CEO Storm,Space.com,"Aug. 9, 2010","He co-founded Tesla Motors in 2003and also helped create Solar City, a leader in the solar power industry. ""Fortunately, I didn't need to raise money because I ...",https://www.space.com/8909-entrepreneur-elon-musk-weathering-ceo-storm.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRb3tmbX4ZYcif3OrsBv-ZARVX5yBzVlDqknDgw0SuLOe4x-Ovk5yVUvUqrd36wS92OpFC8Cm4&s
The Man Who Could Have Founded Tesla,Forbes,"Aug. 20, 2010","And that turned out to be Tesla's co-founders, first Martin Eberhard and then Elon Musk (who had sold PayPal and founded Space X). ""I had approached Elon ...",https://www.forbes.com/2010/08/19/tesla-bmw-tzero-technology-tom-gage.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSxyFJncimQO62Y-cHgVRZNgwmh6hY-PWgUCJpGVU-gYAW1e2vNO-Fr9nBnPIP0ff1Pk2v-001F&s
Mercedes-Benz to Produce 500 E-Cell A-Class Electric Cars,New York Times (blog),"Aug. 26, 2010","Tesla's components, which include the battery pack and controller, will be shipped there to be integrated into the car. Ms. Emeera said the E-Cell would have a ...",https://wheels.blogs.nytimes.com/2010/08/26/mercedes-benz-to-produce-500-e-cell-a-class-electric-cars/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQJrA167tcM5x2HddLl2Ul_1ptzXSrZzBcwQAcOcCWkHlkH2tBx3vb5nI596gk0trfBqJQbcmM&s
EurocarsUS to Display Its Tesla Roadster Sport at the MN ...,Autochannel (press release),"Aug. 26, 2010","EurocarsUS, which sells conventional gas-powered luxury imports and owns 1 of 5 Tesla Roadsters in MN, is pleased to provide fairgoers with an opportunity to ...",https://www.theautochannel.com/news/2010/08/26/493478.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjx4VTgn2kmqQIheZHv_8br40569iFR1G5g0UCdzoFMQBmvw02Aukj1LlqiiAIn9IbFMX0SoP2&s
Tesla Fest returns to Baraboo Saturday,Baraboo News Republic,"Aug. 31, 2010","Fans of high-voltage electricity from around the Midwest will display their Tesla coils, Van de Graaff generators, Marx lightening impulse generators, plasma ...",https://www.wiscnews.com/baraboonewsrepublic/news/local/tesla-fest-returns-to-baraboo-saturday/article_e826a53e-b4a9-11df-a449-001cc4c002e0.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTALy8aobHnWUwIne1Rzlv7yihBD4wUNQyZOUWlh66x_NkH36G-hqm3GMVn0fvAC0GuJ8qwl_57&s
NVIDIA Announces Parallel Nsight 1.5 & CUDA Toolkit 3.2,AnandTech,"Sep. 14, 2010",Next week NVIDIA will be releasing the first major update to their GPGPU programming toolchain since the Fermi-based Tesla series launched earlier this year.,https://www.anandtech.com/show/3924/nvidia-announces-parallel-nsight-15-cuda-toolkit-32,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcScdNJ-xime2W94MKxvvx4a_yU5jcFhSQdnCX4IPQj2Mr3UFvvyL95TCMXGlnXzg1k5SFFGcvJV&s
How Elon Musk Turned Tesla Into the Car Company of the ...,Wired News,"Sep. 27, 2010",The 39-year-old CEO of upstart car company Tesla Motors stands on the main floor of the New United Motor Manufacturing plant and looks with awe from one ...,https://www.wired.com/2010/09/ff-tesla/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTSEt1u-EH9JMHEpMbIsxvhlzFS1DffokwBUZynRW62d_OPcmxMp6KpdRVGMw2JO0B_-tKDCu8&s
Tesla supplies Toyota on electric Rav4,Reuters,"Sep. 30, 2010",PARIS (Reuters) - Electric carmaker Tesla Motors will serve as a key supplier to Toyota Motor Corp under its agreement with the Japanese automaker to build an ...,https://www.reuters.com/article/us-autoshow-tesla/tesla-supplies-toyota-on-electric-rav4-idUSTRE68T3KW20100930,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT6F819sSoPYcs07V6Ih1-KiBLs7yaUAbqP98meKQzGsuJaI1vW65-y8844oEqsfzjkd2GzUOen&s
Tesla recalls 439 Roadster 2.0 and 2.5 electric cars due to fire ...,Engadget,"Oct. 4, 2010",The correction involves checking the routing of the 12V low voltage auxiliary cable and installing a protective sleeve over it. Tesla's Service team has started ...,https://www.engadget.com/2010-10-04-tesla-recalls-439-roadster-2-0-and-2-5-electric-cars-due-to-fire.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS8nTapV8xUt-XZVoCiqiClJFbtN4fdiUQW96aIaFrgyLxvaeWoK22oMWWAVlgEVq0tb2yFwEun&s
Building a supergrid for Europe,The Engineer,"Oct. 4, 2010","Tesla's AC transmission system, on the other hand, had transformers. Unfortunately for Edison, a transformer can only work with AC because its principle of ...",https://www.theengineer.co.uk/building-a-supergrid-for-europe/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTMK7D1kYzkiJ7JxDsV2E9U8g3ugnfLcWMrYQf9EpRoXubNEM5d3PO8papYmV20uTuj4smbu5Q&s
Storyboard: The Supercharged Story of Tesla Motors,Wired News,"Oct. 6, 2010","Forget about other electric vehicles — Tesla might have the sexiest EV out there. The Tesla Roadster is a sleek, fast, high-performance electric car that almost ...",https://www.wired.com/2010/10/storyboard-tesla-motors/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRkXbM5nuQXc_tU6cGIB_unBNfiaitbOt5oo37AnWprBanB7_hZ3pbSYFnoW6hEi97T8orDwUc&s
2011 Tesla Roadster 2.5 S Review,AutoGuide.com,"Oct. 12, 2010",Tesla is planning a Model S luxury sedan with a 300-mile range and a 0-60 time of 6 seconds. 4. A joint project with Toyota and Tesla will see an electric RAV4 ...,https://www.autoguide.com/manufacturer/tesla/2011-tesla-roadster-25-s-review-1444.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTfsv0yxGFZ6OHP5r7WXrjoVMWUx_9he56yRhwW5PVjvBEIxk6I_g-XTqCMfvuUY74YQ8_dLn9Q&s
Tesla's Open House,MotorTrend Magazine,"Oct. 14, 2010","But there it was, atop a small hill that partially encloses the bunker-like battery testing facility where Tesla's favored little 18650 cells -- the cylindrical form factor ...",https://www.motortrend.com/news/tesla-open-house/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTSTbRICL_laUSOWwKHvERs5D8vHQshbzuIfViIL2J9xYLyt8CJ4QHyppCRbkTTcSSigMFwT4UN&s
History Mystery: Tunguska Explosion of 1908,Salem-News.Com,"Oct. 25, 2010","Among Tesla's many inventions was broadcast power. His devices enabled machinery to run without being plugged in to an electrical grid. In his world, the entire ...",http://www.salem-news.com/articles/october252010/tunguska-explosion-ta.php,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Tesla's Lost Death Ray: Found?,Discover Magazine (blog),"Oct. 27, 2010","Among other things, Tesla is responsible for the AC power we currently enjoy; his contemporary Thomas Edison was a stauch proponent of DC. In the early ...",https://www.discovermagazine.com/mind/teslas-lost-death-ray-found,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSTC8iiChqzasVqUQKybgVxdrO1e-_FGmBdk9QQlr51Cps2CgbjNBZEJRJscrXJ8r2_t4WAAYhK&s
"Tesla's Got the Factory, Now It Needs to Fill It",Wired (blog),"Oct. 28, 2010","Tesla's Got the Factory, Now It Needs to Fill It. Tesla CEO Elon Musk. Tesla Motors staged a grand opening ...",https://www.wired.com/2010/10/teslas-got-the-factory-now-it-needs-to-fill-it/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRXfWhPsQtI4GqulofdIqhU4n-zlmfADLGXt0_W2QxhQR3R5pfkjzw7spCX9T8aRkFV-hQ2cac&s
